"exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"social_health2_d","VEGF","social_health2_dPoor",-0.425783412919589,0.254499188289025,-1.67302464020452,0.0974481425261862,-0.930702553972377,0.0791357281331991
"social_relationships2_d","IFN_lambda1","social_relationships2_dLow",-0.339177538819394,0.20693758826867,-1.63903301307946,0.104348877665066,-0.749735820056389,0.0713807424176006
"social_health2_d","GM_CSF","social_health2_dPoor",-0.304575138459887,0.186256761321462,-1.63524339357656,0.105142049239073,-0.674103248054107,0.064952971134333
"social_relationships2_d","IL_10","social_relationships2_dLow",-0.317875232431885,0.196151362843909,-1.62056091695289,0.108261074472255,-0.70703394963378,0.0712834847700106
"social_relationships2_d","sRAGE","social_relationships2_dLow",-0.383312650157618,0.237014064241349,-1.6172569817093,0.10897308193561,-0.853541803101965,0.0869165027867295
"social_health2_d","IL_10","social_health2_dPoor",-0.344028868800286,0.215003525121021,-1.60010803825956,0.112729325122565,-0.770589739022554,0.0825320014219826
"isolation_cat_d","TGF_beta1","isolation_cat_dHigh",-0.481976827209246,0.301255395517741,-1.59989442307221,0.112776759806818,-1.07965895171799,0.115705297299499
"social_relationships2_d","sTREM_1","social_relationships2_dLow",-0.358708256136495,0.23093548301748,-1.55328341686385,0.123514676948431,-0.816877677059656,0.0994611647866651
"social_health2_d","TNF","social_health2_dPoor",-0.364095087924799,0.234974828562345,-1.54950677122505,0.124419057137904,-0.830278455362445,0.102088279512848
"isolation_cat_d","IL_12p70","isolation_cat_dHigh",-0.350522709792299,0.230734172351053,-1.51916253331991,0.1318770252431,-0.808292736086893,0.107247316502295
"social_relationships2_d","IL_1beta","social_relationships2_dLow",-0.315884538526657,0.212060139815268,-1.48959884116757,0.139477009574085,-0.736605816134271,0.104836739080958
"isolation_cat_d","sRAGE","isolation_cat_dHigh",-0.400661847531227,0.275268681655644,-1.45553008472082,0.148654785450663,-0.946787071877551,0.145463376815097
"social_relationships2_d","TGF_beta1","social_relationships2_dLow",-0.378465558247024,0.260592587543146,-1.45232664449584,0.149541296033773,-0.89547382987098,0.138542713376932
"social_relationships2_d","sTREM_2","social_relationships2_dLow",-0.263108054899179,0.181502545939334,-1.44961082246814,0.150296066966127,-0.62320393658233,0.0969878267839715
"isolation_cat_d","IL_18","isolation_cat_dHigh",-0.360756144369418,0.250021880251673,-1.44289829356646,0.15217423596428,-0.856792433796443,0.135280145057607
"social_relationships2_d","IFN_gamma","social_relationships2_dLow",-0.301397219960083,0.210052538964617,-1.43486587425089,0.154445487176002,-0.718135474659442,0.115341034739275
"social_health2_d","sRAGE","social_health2_dPoor",-0.367102632931248,0.260510800341106,-1.4091647350151,0.161888573559997,-0.883948641075778,0.149743375213282
"social_health2_d","IL_12p70","social_health2_dPoor",-0.30538233225089,0.218602857989077,-1.39697319175099,0.16551399969662,-0.739084176369068,0.128319511867287
"social_relationships2_d","CX3CL1","social_relationships2_dLow",-0.310353033280471,0.227679833427239,-1.36311164941032,0.1759086915516,-0.762063338142299,0.141357271581358
"social_relationships2_d","IFN_lambda2_3","social_relationships2_dLow",-0.276389923876349,0.204842152960167,-1.34928245911424,0.180293316338209,-0.682790921142366,0.130011073389667
"social_activities2_d","IFN_alpha2","social_activities2_dLow",-0.289660398638403,0.215293317651969,-1.34542215149776,0.181531842404629,-0.716796208988352,0.137475411711547
"social_health2_d","TGF_beta1","social_health2_dPoor",-0.377705259576222,0.286059478301365,-1.32037316791268,0.189724580320742,-0.945239117129837,0.189828597977393
"social_activities2_d","MCP_1","social_activities2_dLow",0.322111136353246,0.249219748159611,1.29247837995146,0.199170064596675,-0.172333745849035,0.816556018555527
"social_activities2_d","IL_10","social_activities2_dLow",-0.301325433488913,0.234371462294081,-1.28567458913074,0.201525953848987,-0.766311739435087,0.16366087245726
"social_relationships2_d","IL_6","social_relationships2_dLow",-0.281728960051682,0.219661197954971,-1.28256133843645,0.202610805443271,-0.717530520519108,0.154072600415745
"isolation_cat_d","IL_1beta","isolation_cat_dHigh",-0.309213788408663,0.24646881670506,-1.25457570066029,0.212557208666712,-0.798200900955703,0.179773324138377
"social_activities2_d","beta_NGF","social_activities2_dLow",0.265620431121194,0.212447085470744,1.25028983350197,0.214111537217237,-0.1558685356461,0.687109397888488
"isolation_cat_d","TNF","isolation_cat_dHigh",-0.30764839077642,0.249523203316323,-1.23294501949148,0.22048685646384,-0.802695319366767,0.187398537813926
"social_health2_d","IFN_beta","social_health2_dPoor",0.234794803080776,0.197928481631744,1.18626082080306,0.238330124468101,-0.157889667181216,0.627479273342768
"social_activities2_d","IFN_lambda2_3","social_activities2_dLow",-0.287512623898025,0.24411237641535,-1.17778798486166,0.241676514351293,-0.771824626025179,0.196799378229129
"social_activities2_d","sRAGE","social_activities2_dLow",-0.331189770756122,0.283584967133633,-1.16786786726977,0.245637008898144,-0.893814268630688,0.231434727118443
"social_relationships2_d","IL_12p70","social_relationships2_dLow",-0.2187547890398,0.200245038415462,-1.09243550187712,0.27726658190335,-0.616035241981732,0.178525663902132
"isolation_cat_d","IL_8","isolation_cat_dHigh",0.293435067051463,0.27766167803111,1.05680794386968,0.293145606733729,-0.257437793947716,0.844307928050642
"social_activities2_d","TNF","social_activities2_dLow",-0.266123256631167,0.256673453045376,-1.03681644312519,0.302322061733412,-0.775356077034285,0.243109563771951
"isolation_cat_d","VEGF","isolation_cat_dHigh",-0.27901650823119,0.271401073300816,-1.0280597082309,0.306402020683535,-0.817468507756732,0.259435491294351
"social_activities2_d","GM_CSF","social_activities2_dLow",-0.205341049084087,0.203787796304071,-1.00762191263749,0.31606794862656,-0.609650232774042,0.198968134605868
"social_activities2_d","TGF_beta1","social_activities2_dLow",-0.301389927815986,0.311686446710451,-0.966965137550464,0.335894249880248,-0.91976696079933,0.316987105167357
"isolation_cat_d","BDNF","isolation_cat_dHigh",0.22680157330786,0.235493536104698,0.963090440015417,0.337825286432715,-0.240410895120259,0.694014041735979
"social_health2_d","IL_18","social_health2_dPoor",-0.220672607921352,0.237891159824956,-0.927620043063922,0.355838229603503,-0.692641893522598,0.251296677679895
"social_relationships2_d","IFN_beta","social_relationships2_dLow",0.161362171939027,0.181180849471323,0.890613839210237,0.375274121331803,-0.19809547311398,0.520819816992034
"isolation_cat_d","beta_NGF","isolation_cat_dHigh",0.177289226164198,0.20783993172101,0.853008489254987,0.395693114680641,-0.235059278782165,0.589637731110561
"social_activities2_d","IFN_gamma","social_activities2_dLow",-0.212631256955595,0.251449196786959,-0.845623130527426,0.399781866582149,-0.711499301736546,0.286236787825356
"social_health2_d","beta_NGF","social_health2_dPoor",0.160902167599208,0.196625722166491,0.818316982266265,0.415121926576031,-0.229197664988235,0.551002000186652
"social_activities2_d","IFN_lambda1","social_activities2_dLow",-0.196904482677207,0.248589068149425,-0.79208826093209,0.430184205118992,-0.690098113701977,0.296289148347563
"social_activities2_d","IP_10","social_activities2_dLow",-0.173398592693303,0.221416635899553,-0.78313263133474,0.435399995783611,-0.612682892045315,0.265885706658709
"social_activities2_d","VILIP_1","social_activities2_dLow",0.195251622979311,0.253379392623404,0.770589987440344,0.442766786825944,-0.30744587536632,0.697949121324942
"social_relationships2_d","IL_18","social_relationships2_dLow",-0.154209199819178,0.217487860453327,-0.70904739003707,0.479944883388537,-0.585698920583202,0.277280520944847
"social_health2_d","IL_1beta","social_health2_dPoor",-0.166090676827232,0.234342695213594,-0.708751244308456,0.480127870199979,-0.631019909705048,0.298838556050584
"social_activities2_d","IL_8","social_activities2_dLow",0.198704937908733,0.28588867281995,0.6950430597643,0.488640199358768,-0.368490046434546,0.765899922252012
"social_activities2_d","sTREM_1","social_activities2_dLow",-0.178213232640935,0.277342896264326,-0.642573633726989,0.521971328481444,-0.72845363969419,0.37202717441232
"social_activities2_d","VEGF","social_activities2_dLow",-0.175040504128317,0.279486099627943,-0.626294131841742,0.532549062289392,-0.729532965613391,0.379451957356757
"social_relationships2_d","GM_CSF","social_relationships2_dLow",-0.102078095604713,0.171934663789763,-0.593702824984331,0.554051491774331,-0.443191571610525,0.239035380401099
"social_activities2_d","IL_18","social_activities2_dLow",-0.151557210973174,0.25883620660357,-0.585533272032909,0.559508291982489,-0.665080872837334,0.361966450890986
"isolation_cat_d","GM_CSF","isolation_cat_dHigh",-0.111938143790528,0.199237767116958,-0.561831952898854,0.575487609976668,-0.507220199164801,0.283343911583745
"social_activities2_d","IFN_beta","social_activities2_dLow",0.120463819962125,0.215972084424627,0.557774956347038,0.578244606186486,-0.308018644332498,0.548946284256748
"social_relationships2_d","VEGF","social_relationships2_dLow",-0.125713247335792,0.235150719336103,-0.534607113644883,0.594108229096644,-0.592245577058944,0.340819082387361
"social_activities2_d","IL_1beta","social_activities2_dLow",-0.115787038017802,0.254695099858403,-0.454610387408998,0.650374882733759,-0.621094862044387,0.389520786008782
"social_relationships2_d","IP_10","social_relationships2_dLow",-0.0843615358955662,0.186573595464892,-0.45216224560265,0.652131406908998,-0.454518235406447,0.285795163615315
"social_health2_d","sTREM_2","social_health2_dPoor",-0.0836197528653881,0.20078767334219,-0.416458597649468,0.67796697684717,-0.481976778046905,0.314737272316128
"social_relationships2_d","VILIP_1","social_relationships2_dLow",-0.0859321498129349,0.213531167355801,-0.402433756519247,0.688223783442158,-0.509571904163929,0.33770760453806
"social_activities2_d","IL_12p70","social_activities2_dLow",-0.0945143175056921,0.23935572814145,-0.39486967050915,0.6937800460795,-0.569389264933795,0.380360629922411
"social_relationships2_d","BDNF","social_relationships2_dLow",0.0805688953250797,0.204040797666606,0.394866596516281,0.693782307532012,-0.324242235862293,0.485380026512452
"social_relationships2_d","beta_NGF","social_relationships2_dLow",0.0677571278817314,0.179914845352695,0.376606653825058,0.707263857336966,-0.289188801057586,0.424703056821049
"isolation_cat_d","MCP_1","isolation_cat_dHigh",0.0917009411980622,0.244657962981002,0.374812820644562,0.708593391885634,-0.393693489136235,0.57709537153236
"social_activities2_d","sTREM_2","social_activities2_dLow",-0.0776001758566944,0.217955420248606,-0.356036916944674,0.722562940737839,-0.510017521937759,0.35481717022437
"social_relationships2_d","IL_8","social_relationships2_dLow",-0.0797949567639903,0.240857944388415,-0.331294684784449,0.741115156737215,-0.557650258440735,0.398060344912754
"social_health2_d","IL_8","social_health2_dPoor",-0.0768490337598576,0.263955075579015,-0.291144368378902,0.771543927866363,-0.600528385878355,0.44683031835864
"social_activities2_d","CX3CL1","social_activities2_dLow",-0.0761221028262367,0.273147960781135,-0.27868449981668,0.781062437657528,-0.618039877358797,0.465795671706324
"isolation_cat_d","IFN_beta","isolation_cat_dHigh",0.0483824562506975,0.210689033211748,0.229639177289649,0.818841214910807,-0.369618584906674,0.466383497408069
"social_health2_d","IL_6","social_health2_dPoor",0.0492135169126852,0.242617307444025,0.202844213511187,0.839668947067601,-0.432132310957132,0.530559344782503
"isolation_cat_d","IP_10","isolation_cat_dHigh",0.0426671534844864,0.216340464527027,0.197222251407139,0.844053928862421,-0.386546166441289,0.471880473410262
"isolation_cat_d","VILIP_1","isolation_cat_dHigh",0.0487181555678107,0.247546673724407,0.196803919175454,0.84438041492674,-0.442407394606655,0.539843705742277
"social_activities2_d","IL_6","social_activities2_dLow",0.0494118447996053,0.263308012537431,0.187657961196988,0.851525035105138,-0.472983752673701,0.571807442272911
"social_relationships2_d","MCP_1","social_relationships2_dLow",-0.0309511493299673,0.211294938267071,-0.146483155648745,0.883834883453048,-0.450154288860028,0.388251990200093
"social_health2_d","VILIP_1","social_health2_dPoor",0.0336134725075258,0.234143844838269,0.143559069557193,0.886137556681123,-0.430921246889198,0.49814819190425
"social_activities2_d","BDNF","social_activities2_dLow",-0.0312845749192502,0.242808300727716,-0.128844750469765,0.897739278205848,-0.513009328024141,0.45044017818564
"social_health2_d","BDNF","social_health2_dPoor",-0.0119041906103903,0.223750495057336,-0.0532029688128282,0.957676329894933,-0.45581880005969,0.432010418838909
"social_health2_d","MCP_1","social_health2_dPoor",0.0119341256055864,0.231549976468084,0.0515401719646963,0.95899790530875,-0.44745443282189,0.471322684033063
"social_health2_d","IP_10","social_health2_dPoor",0.00393526777403437,0.20464809716742,0.0192294374025622,0.98469638999292,-0.402080728326167,0.409951263874236
